Date,532921.BO,500820.BO,532215.BO,500034.BO,532978.BO,500049.BO,532454.BO,543320.BO,532281.BO,500180.BO,500696.BO,532174.BO,500209.BO,500875.BO,500247.BO,500510.BO,500520.BO,532500.BO,532555.BO,532898.BO,500325.BO,500112.BO,524715.BO,532540.BO,500570.BO,500470.BO,532755.BO,500114.BO,500251.BO,532538.BO
2018-11-12,313.96905517578125,,,222.41835021972656,553.496337890625,,,,,,1449.1448974609375,,539.6761474609375,,,1228.49951171875,718.1123657226562,,,,479.6853942871094,256.2864685058594,,,,22.336511611938477,,,,3609.957763671875
2018-11-13,319.1286315917969,,,222.92568969726562,554.2282104492188,,,,,,1465.18017578125,,540.69140625,,,1250.202880859375,728.0975952148438,,,,488.9344787597656,256.6555480957031,,,,22.57600975036621,,,,3702.786376953125
2018-11-14,316.3099670410156,,,223.67689514160156,555.2935791015625,,,,,,1493.175048828125,,530.7417602539062,,,1243.732421875,709.0014038085938,,,,487.400390625,261.7766418457031,,,,22.56834602355957,,,,3753.771728515625
2018-11-15,329.9254455566406,,,228.23294067382812,557.3449096679688,,,,,,1494.489501953125,,533.0970458984375,,,1255.774658203125,704.7678833007812,,,,487.756103515625,263.2529602050781,,,,22.55685043334961,,,,3780.618896484375
2018-11-16,331.21533203125,,,233.86708068847656,566.007568359375,,,,,,1481.4775390625,,528.3050537109375,,,1254.5615234375,706.1943359375,,,,501.3629150390625,267.86663818359375,,,,21.999296188354492,,,,3830.346435546875
2018-11-19,334.2251281738281,,,230.30612182617188,570.423583984375,,,,,,1490.765625,,529.4016723632812,,,1272.5802001953125,718.1583862304688,,,,511.19012451171875,265.9289245605469,,,,22.309688568115234,,,,3902.374755859375
2018-11-20,338.38140869140625,,,232.29148864746094,566.1718139648438,,,,,,1483.93115234375,,520.7108764648438,,,1269.5693359375,720.321044921875,,,,506.3210144042969,261.1769104003906,,,,21.593111038208008,,,,3847.13232421875
2018-11-21,344.83087158203125,,,237.0572967529297,581.869384765625,,,,,,1480.733154296875,,504.34490966796875,,,1260.40283203125,707.712890625,,,,494.60400390625,264.4064025878906,,,,21.173513412475586,,,,3922.788330078125
2018-11-23,350.8026123046875,,,232.02317810058594,570.2294311523438,,,,,,1467.3707275390625,,503.9387512207031,,,1266.5589599609375,686.31591796875,,,,490.4018859863281,260.76165771484375,,,,20.690683364868164,,,,3830.733642578125
2018-11-26,352.7135009765625,,,233.4329376220703,570.7620849609375,,,,,,1529.14453125,,504.629150390625,,,1277.2982177734375,689.3528442382812,,,,493.4034118652344,263.62213134765625,,,,20.35155487060547,,,,3833.345703125
2018-11-27,352.18804931640625,,,237.1938934326172,583.2733764648438,,,,,,1518.19189453125,,517.380859375,,,1286.4647216796875,692.435791015625,,,,501.3629150390625,266.7132263183594,,,,20.006675720214844,,,,3875.237548828125
2018-11-28,349.034912109375,,,235.23777770996094,578.718017578125,,,,,,1516.5704345703125,,541.2192993164062,,,1261.3914794921875,688.7086791992188,,,,509.70050048828125,262.1918640136719,,,,20.079486846923828,,,,3874.511474609375
2018-11-29,352.9046630859375,,,244.457275390625,598.806640625,,,,,,1546.84423828125,,535.7367553710938,,,1278.2867431640625,711.4862060546875,,,,520.2613525390625,264.12957763671875,,,,20.441606521606445,,,,3897.972412109375
2018-11-30,349.6082763671875,,,246.671875,598.1593627929688,,,,,,1536.5484619140625,,541.341064453125,,,1284.8021240234375,727.223388671875,,,,519.4609375,262.37640380859375,,,,20.318981170654297,,,,3862.950439453125
2018-12-03,358.7330017089844,,,244.5889434814453,596.0534057617188,,,,,,1599.8995361328125,,544.0621337890625,,,1280.398681640625,699.6602172851562,,,,514.1694946289062,264.8216247558594,,,,20.58530616760254,,,,3926.56103515625
2018-12-04,357.204345703125,,,247.73040771484375,604.0341186523438,,,,,,1584.434326171875,,555.9204711914062,,,1275.8153076171875,683.140869140625,,,,512.0573120117188,260.48480224609375,,,,20.627456665039062,,,,3899.18212890625
2018-12-06,347.6972961425781,,,237.20852661132812,564.9471435546875,,,,,,1577.5556640625,,542.721923828125,,,1239.822998046875,654.2433471679688,,,,499.56201171875,254.44100952148438,,,,19.58324432373047,,,,3736.889404296875
2018-12-07,357.10870361328125,,,242.74020385742188,582.4569091796875,,,,,,1597.22705078125,,553.1588134765625,,,1256.7630615234375,663.2163696289062,,,,503.9197998046875,254.11802673339844,,,,19.462539672851562,,,,3808.626708984375
2018-12-10,343.34991455078125,,,233.92559814453125,565.1661987304688,,,,,,1574.664306640625,,542.3970947265625,,,1228.005126953125,654.1513061523438,,,,484.0209045410156,252.27259826660156,,,,19.238370895385742,,,,3655.57373046875
2018-12-11,341.00897216796875,,,237.20362854003906,581.540771484375,,,,,,1572.9993896484375,,547.6358032226562,,,1226.4326171875,665.7470703125,,,,487.44482421875,259.4698181152344,,,,19.221126556396484,,,,3757.2060546875
2018-12-12,357.7297668457031,,,243.35972595214844,595.9738159179688,,,,,,1611.4219970703125,,551.2501831054688,,,1258.470703125,689.6290283203125,,,,493.80364990234375,263.2069091796875,,,,19.94153594970703,,,,3806.982666015625
2018-12-13,354.81561279296875,,,242.88653564453125,613.667724609375,,,,,,1623.645263671875,,565.7075805664062,,,1280.7579345703125,697.3594970703125,,,,492.1583557128906,266.29803466796875,,,,19.629228591918945,,,,3824.88037109375
2018-12-14,352.5224609375,,,242.73043823242188,613.8818969726562,,,,,,1626.9749755859375,,573.0987548828125,,,1268.5361328125,695.56494140625,,,,494.3594665527344,266.80548095703125,,,,19.673295974731445,,,,3868.1748046875
2018-12-17,354.8633728027344,,,241.7499542236328,605.7567138671875,,,,,,1622.243408203125,,563.3114624023438,,,1265.75,698.0497436523438,,,,502.741455078125,266.3441467285156,,,,20.04308319091797,,,,3879.252197265625
2018-12-18,356.1054992675781,,,246.8572540283203,612.3533325195312,,,,,,1613.21826171875,,549.3414306640625,,,1283.678955078125,709.3695068359375,,,,505.3426818847656,269.9427490234375,,,,20.194446563720703,,,,3877.414306640625
2018-12-19,358.8285827636719,,,253.56939697265625,636.1063232421875,,,,,,1615.75927734375,,540.3260498046875,,,1289.2955322265625,718.3423461914062,,,,505.6318054199219,277.18609619140625,,,,20.186779022216797,,,,3956.794921875
2018-12-20,358.39862060546875,,,252.8279266357422,637.724365234375,,,,,,1606.9093017578125,,541.62548828125,,,1302.3714599609375,731.9627685546875,,,,501.2518005371094,271.14227294921875,,,,20.05841064453125,,,,3915.62890625
2018-12-21,343.20654296875,,,253.78892517089844,631.62060546875,,,,,,1580.359619140625,,524.4877319335938,,,1276.4893798828125,718.1583862304688,,,,488.4008483886719,269.1123046875,,,,19.930038452148438,,,,3852.550048828125
